neck_2.x, neck_2.y, neck_2.z, right_shoulder_2.x, right_shoulder_2.y, right_shoulder_2.z, right_elbow_2.x,right_elbow_2.y, right_elbow_2.z, right_hand_2.x, right_hand_2.y, right_hand_2.z, right_hip_2.x,right_hip_2.y, right_hip_2.z, time.sec, time.nsec
2.771132,0.026038,0.668057,2.762758,-0.125703,0.669776,2.795075,-0.269638,0.402595,2.665238,-0.333464,0.142937,2.778518,-0.083222,0.268257,0,0
2.792884,0.023329,0.704359,2.788280,-0.128560,0.706424,2.802039,-0.261814,0.400793,2.665238,-0.333464,0.142937,2.778518,-0.083222,0.268257,0,0
2.793970,0.025523,0.705776,2.783278,-0.126021,0.706627,2.818281,-0.250106,0.397347,2.719903,-0.305313,0.105660,2.778999,-0.077058,0.268765,0,0
2.796827,0.025300,0.706997,2.787430,-0.126351,0.707599,2.843289,-0.240130,0.402035,2.749915,-0.291222,0.101260,2.779353,-0.076530,0.269909,0,0
2.803741,0.025736,0.710484,2.796397,-0.126051,0.712001,2.845538,-0.236515,0.402376,2.761403,-0.293002,0.099974,2.779128,-0.078548,0.274312,0,0
2.807867,0.025667,0.712350,2.801084,-0.126141,0.714561,2.841197,-0.239677,0.401285,2.749220,-0.311687,0.102212,2.783116,-0.080685,0.276647,0,0
2.817683,0.027232,0.719301,2.813717,-0.124671,0.721594,2.836528,-0.246713,0.418660,2.722539,-0.340962,0.136795,2.785383,-0.079539,0.284230,0,0
2.814227,0.028411,0.713101,2.813862,-0.123534,0.715428,2.830568,-0.268694,0.444815,2.725377,-0.419836,0.189821,2.798757,-0.079226,0.277317,0,0
2.821666,0.031011,0.715858,2.819830,-0.120930,0.718677,2.832946,-0.300823,0.467465,2.694288,-0.503209,0.264843,2.791800,-0.077721,0.281088,0,0
2.825017,0.029023,0.717923,2.827426,-0.122911,0.719902,2.823868,-0.347468,0.496424,2.682084,-0.587799,0.345280,2.799536,-0.078071,0.282438,0,0
2.824905,0.027412,0.714225,2.829701,-0.124476,0.716075,2.827735,-0.379299,0.536544,2.698123,-0.645497,0.444515,2.802071,-0.079675,0.278586,0,0
2.824359,0.024533,0.713033,2.825620,-0.127421,0.714451,2.828474,-0.405898,0.597180,2.722655,-0.693590,0.552120,2.797929,-0.080765,0.277165,0,0
2.823538,0.020092,0.710054,2.823046,-0.131882,0.710566,2.843190,-0.421976,0.644763,2.748441,-0.723091,0.639276,2.794655,-0.082286,0.273646,0,0
2.823979,0.020958,0.715420,2.818443,-0.130897,0.714866,2.854039,-0.432731,0.679581,2.772518,-0.736376,0.716084,2.786863,-0.077158,0.278666,0,0
2.825488,0.020524,0.715607,2.816810,-0.131200,0.714749,2.863513,-0.435959,0.704939,2.784794,-0.723929,0.767081,2.788609,-0.076058,0.278483,0,0
2.826497,0.022550,0.717321,2.814025,-0.128907,0.717369,2.870066,-0.443237,0.713233,2.791141,-0.718578,0.793271,2.788334,-0.075778,0.280702,0,0
2.825840,0.020753,0.717288,2.811032,-0.130500,0.717500,2.863513,-0.444897,0.713644,2.794058,-0.718810,0.797287,2.785840,-0.077425,0.280792,0,0
2.826091,0.017602,0.716969,2.812644,-0.133781,0.716666,2.868318,-0.448854,0.714822,2.789228,-0.716653,0.795840,2.785873,-0.079352,0.280218,0,0
2.824616,0.016680,0.715998,2.810389,-0.134619,0.714518,2.861925,-0.451846,0.710969,2.782115,-0.719305,0.780518,2.784149,-0.076692,0.278501,0,0
2.824935,0.016831,0.717241,2.810096,-0.134402,0.714948,2.858119,-0.452347,0.694111,2.779476,-0.724802,0.747923,2.781577,-0.073778,0.279440,0,0
2.819891,0.014848,0.711976,2.804315,-0.136310,0.709665,2.856404,-0.449027,0.674373,2.751501,-0.722687,0.708232,2.785125,-0.076416,0.273627,0,0
2.822945,0.013038,0.712829,2.810919,-0.138436,0.710300,2.859929,-0.450873,0.651664,2.747151,-0.733573,0.654964,2.786830,-0.078106,0.274493,0,0
2.823280,0.012687,0.712761,2.807954,-0.138450,0.708677,2.857624,-0.426227,0.629198,2.748505,-0.713182,0.609041,2.785450,-0.073151,0.273489,0,0
2.822532,0.013416,0.709961,2.806330,-0.137637,0.705737,2.855831,-0.408643,0.598515,2.749076,-0.693081,0.546978,2.786048,-0.072002,0.270511,0,0
2.822278,0.012267,0.709204,2.805528,-0.138727,0.705571,2.859473,-0.392814,0.563927,2.746930,-0.666387,0.476386,2.787916,-0.075004,0.269971,0,0
2.824434,0.011904,0.712486,2.809657,-0.139327,0.710994,2.854940,-0.367222,0.537984,2.749627,-0.622035,0.401112,2.787222,-0.081625,0.274740,0,0
2.825901,0.013644,0.715263,2.811228,-0.137614,0.713659,2.852489,-0.352297,0.520989,2.745342,-0.589720,0.354075,2.788702,-0.079581,0.277438,0,0
2.824742,0.014295,0.712097,2.806129,-0.136521,0.710463,2.841312,-0.325905,0.501992,2.748950,-0.526567,0.281876,2.785200,-0.077851,0.274251,0,0
2.818286,0.014411,0.706214,2.804886,-0.136962,0.705862,2.842926,-0.303459,0.477350,2.749333,-0.462640,0.223302,2.794984,-0.083892,0.268636,0,0
2.820895,0.014603,0.708341,2.806144,-0.136655,0.707969,2.842990,-0.278665,0.462278,2.745711,-0.386347,0.181911,2.784763,-0.082280,0.271290,0,0
2.823064,0.013543,0.713080,2.806975,-0.137572,0.711830,2.846002,-0.253949,0.447025,2.738351,-0.333082,0.157176,2.781155,-0.079950,0.275748,0,0
2.817477,0.012913,0.707730,2.799495,-0.137959,0.704733,2.838138,-0.240765,0.440910,2.739692,-0.277325,0.144638,2.785285,-0.076258,0.268753,0,0
2.812943,0.014384,0.705659,2.790737,-0.135886,0.701220,2.830128,-0.239534,0.439418,2.743499,-0.250203,0.137392,2.781823,-0.070150,0.265624,0,0
2.812020,0.012272,0.708186,2.792220,-0.138340,0.703885,2.824853,-0.237442,0.433609,2.739358,-0.227938,0.130955,2.780161,-0.072877,0.268307,0,0
2.811071,0.013118,0.705004,2.790853,-0.137426,0.700162,2.823202,-0.237236,0.433768,2.736373,-0.223591,0.131524,2.777657,-0.070199,0.264885,0,0
2.818238,0.013014,0.715849,2.799898,-0.137796,0.711914,2.824544,-0.236988,0.433867,2.740791,-0.219684,0.130939,2.779597,-0.072605,0.276656,0,0
2.814943,0.009908,0.712171,2.803178,-0.141557,0.711956,2.826337,-0.238639,0.449633,2.746780,-0.224888,0.145392,2.779563,-0.087978,0.275439,0,0
2.810673,0.011060,0.708174,2.794046,-0.139956,0.705133,2.824191,-0.237328,0.435543,2.746469,-0.225056,0.130746,2.779552,-0.078280,0.269114,0,0
2.817665,0.013248,0.715211,2.802863,-0.137985,0.713078,2.823143,-0.236684,0.440994,2.742555,-0.227744,0.136856,2.768915,-0.077306,0.278019,0,0
2.818166,0.013258,0.715722,2.805984,-0.138225,0.715612,2.823774,-0.237908,0.432747,2.727879,-0.269109,0.134708,2.769339,-0.083822,0.279898,0,0
2.817809,0.011416,0.715762,2.811864,-0.140388,0.718870,2.823239,-0.242106,0.430832,2.724690,-0.306137,0.139448,2.772534,-0.096764,0.282193,0,0
